,iso_code,continent,country,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality,ISO,WEO Subject Code,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
10,GRC,Europe,Greece,2021-07-31,493304.0,2752.0,2705.429,12940.0,17.0,10.571,47328.154,264.03,259.562,1241.479,1.631,1.014,1.09,,,,,,,,,,,,,,,,,,10536457.0,5705615.0,5165666.0,60540.0,53674.0,101.09,54.74,49.56,5150.0,48.61,10423056.0,83.479,45.3,20.396,14.524000000000001,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24,0.888,,GRC,NGDP_RPCH,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for: Gross domestic product, constant prices (National currency).",-8.248,3.758,5,2.352,1.53,1.466,1.356,2020.0
11,ISL,Europe,Iceland,2021-07-31,7959.0,158.0,115.85700000000001,30.0,0.0,0.0,23323.077,463.004,339.50800000000004,87.912,0.0,0.0,1.53,,,,,,,,,2591.0,493096.0,1444.97,7.593,4047.0,11.859000000000002,,,tests performed,,,,,,,,,,,341250.0,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.9490000000000001,,ISL,NGDP_RPCH,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for: Gross domestic product, constant prices (National currency).",-6.649,3.707,3.568,2.369,2.433,2.331,2.335,2018.0
12,ITA,Europe,Italy,2021-07-31,4350028.0,6509.0,5336.429,128063.0,16.0,17.285999999999998,71946.683,107.655,88.26100000000001,2118.08,0.265,0.28600000000000003,1.3,,,,,,,,,264860.0,77544194.0,1282.531,4.381,213200.0,3.5260000000000002,0.025,40.0,tests performed,68525502.0,38409740.0,31468745.0,426743.0,497750.0,113.34,63.53,52.05,8232.0,,60461828.0,205.859,47.9,23.021,16.24,35220.084,2.0,113.15100000000001,4.78,19.8,27.8,,3.18,83.51,0.892,,ITA,NGDP_RPCH,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for: Gross domestic product, constant prices (National currency).",-8.871,4.15,3.604,1.563,0.913,0.85,0.817,2020.0
13,MYS,Asia,Malaysia,2021-07-31,1113272.0,17786.0,16697.0,9024.0,299.0,160.286,34396.344,549.5269999999999,515.881,278.811,9.238,4.952,1.2,,,,,,,,,,,,,,,,,,20720351.0,13949423.0,6770928.0,519364.0,523213.0,64.02,43.1,20.92,16166.0,,32365998.0,96.25399999999999,29.9,6.292999999999999,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,0.81,,MYS,NGDP_RPCH,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for: Gross domestic product, constant prices (National currency).",-5.588,6.5,6,5.7,5.3,5,5,2019.0
14,MLT,Europe,Malta,2021-07-31,34295.0,94.0,107.714,423.0,0.0,0.28600000000000003,77671.508,212.892,243.952,958.013,0.0,0.647,0.76,,,,,,,,,,,,,,,,,,759818.0,399690.0,382255.0,1566.0,2301.0,172.08,90.52,86.57,5211.0,47.22,441539.0,1454.037,42.4,19.426,11.324000000000002,36513.323,0.2,168.71099999999998,8.83,20.9,30.2,,4.485,82.53,0.895,,MLT,NGDP_RPCH,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for: Gross domestic product, constant prices (National currency).",-7.001,4.663,5.577,4.603,4.531,4.5,4.475,2020.0
15,MEX,North America,Mexico,2021-07-31,2848252.0,18809.0,15181.286,240906.0,450.0,370.0,22090.988999999998,145.882,117.74600000000001,1868.4620000000002,3.49,2.87,1.27,,,,,,,,,8090.0,8028519.0,62.269,0.063,29694.0,0.23,0.41200000000000003,2.4,people tested,67355342.0,47463637.0,25792543.0,642856.0,971008.0,52.24,36.81,20.0,7531.0,67.13,128932753.0,66.444,29.3,6.857,4.321000000000001,17336.468999999997,2.5,152.783,13.06,6.9,21.4,87.84700000000001,1.38,75.05,0.779,,MEX,NGDP_RPCH,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for: Gross domestic product, constant prices (National currency).",-8.239,5.004,3.002,2.132,2.023,2.011,2.015,2020.0
16,MAR,Africa,Morocco,2021-07-31,623528.0,7529.0,6909.429,9785.0,53.0,32.286,16892.944,203.98,187.19400000000002,265.1,1.436,0.875,1.68,,,,,,,,,,,,,,,,,,23755510.0,13631005.0,10124505.0,106032.0,319011.0,64.36,36.93,27.43,8643.0,,36910558.0,80.08,29.6,6.769,4.209,7485.013000000001,1.0,419.14599999999996,7.14,0.8,47.1,,1.1,76.68,0.6859999999999999,,MAR,NGDP_RPCH,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for: Gross domestic product, constant prices (National currency).",-7.021,4.5,3.9,3.7,3.637,3.6,3.5,2019.0
17,NZL,Oceania,New Zealand,2021-07-31,2874.0,3.0,1.571,26.0,0.0,0.0,595.989,0.622,0.326,5.392,0.0,0.0,0.79,,,,,,,,,,,,,6645.0,1.3780000000000001,0.0,4229.8,tests performed,,,,,,,,,,22.22,4822233.0,18.206,37.9,15.322000000000001,9.72,36085.843,,128.797,8.08,14.8,17.2,,2.61,82.29,0.9309999999999999,,NZL,NGDP_RPCH,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for: Gross domestic product, constant prices (National currency).",-2.991,4.044,3.195,2.613,2.531,2.432,2.463,2020.0
18,PER,South America,Peru,2021-07-31,2111393.0,2798.0,1212.714,196353.0,139.0,79.714,64036.239,84.86,36.78,5955.172,4.216,2.418,0.89,,,,,,,,,,,,,,,,,,13152285.0,7997150.0,5155135.0,163541.0,145790.0,39.89,24.25,15.63,4422.0,,32971846.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777,,PER,NGDP_RPCH,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for: Gross domestic product, constant prices (National currency).",-11.115,8.498,5.159,4.751,3.377,3.252,3.251,2020.0
19,POL,Europe,Poland,2021-07-31,2882939.0,153.0,124.714,75261.0,2.0,2.8569999999999998,76174.30900000001,4.043,3.295,1988.58,0.053,0.075,1.2,,,,,,,,,,,,,,,,,,34429956.0,18332060.0,17470071.0,95697.0,103445.0,90.97,48.44,46.16,2733.0,,37846605.0,124.027,41.8,16.762999999999998,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73,0.88,,POL,NGDP_RPCH,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for: Gross domestic product, constant prices (National currency).",-2.723,3.467,4.543,3.977,3.012,2.855,2.564,2020.0
