,iso_code,continent,country,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality,ISO,WEO Subject Code,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
20,PRT,Europe,Portugal,2021-07-31,968631.0,2590.0,2599.571,17361.0,17.0,11.0,94994.492,254.00400000000002,254.942,1702.608,1.6669999999999998,1.079,0.68,,,,,,,,,63949.0,15380998.0,1508.4279999999999,6.272,63875.0,6.263999999999999,0.040999999999999995,24.6,tests performed,12120727.0,7010170.0,5685309.0,93423.0,88948.0,118.87,68.75,55.76,8723.0,,10196707.0,112.37100000000001,46.2,21.502,14.924000000000001,27936.896,0.5,127.84200000000001,9.85,16.3,30.0,,3.39,82.05,0.8640000000000001,,PRT,NGDP_RPCH,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for: Gross domestic product, constant prices (National currency).",-7.587,3.9,4.8,2.5,2.3,1.8,1.7,2020.0
21,SGP,Asia,Singapore,2021-07-31,64981.0,120.0,132.429,37.0,0.0,0.0,11107.212,20.511999999999997,22.636,6.324,0.0,0.0,1.19,,,,,,,,,,,,,,,,,,7576612.0,4307602.0,3391799.0,72058.0,63690.0,129.51,73.63,57.98,10887.0,50.93,5850343.0,7915.731,42.4,12.922,7.0489999999999995,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938,,SGP,NGDP_RPCH,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for: Gross domestic product, constant prices (National currency).",-5.391,5.198,3.232,2.73,2.643,2.487,2.523,2019.0
22,SVN,Europe,Slovenia,2021-07-31,259215.0,136.0,85.14299999999999,4429.0,1.0,0.28600000000000003,124686.618,65.418,40.955,2130.4210000000003,0.48100000000000004,0.13699999999999998,1.3,,,,,,,,,761.0,1392786.0,669.953,0.366,1347.0,0.648,0.066,15.2,tests performed,1730731.0,920384.0,810347.0,2276.0,6197.0,83.25,44.27,38.98,2981.0,,2078932.0,102.619,44.5,19.062,12.93,31400.84,,153.493,7.25,20.1,25.0,,4.5,81.32,0.917,,SVN,NGDP_RPCH,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for: Gross domestic product, constant prices (National currency).",-5.532,3.71,4.514,3.602,3.136,2.735,2.45,2020.0
23,ZAF,Africa,South Africa,2021-07-31,2447454.0,12418.0,11335.571000000002,72013.0,334.0,360.714,41266.364,209.37900000000002,191.128,1214.2069999999999,5.632000000000001,6.082000000000001,0.99,,,,,,,,,,,,,,,,,,,,,,159989.0,,,,2698.0,51.85,59308690.0,46.754,27.3,5.343999999999999,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.7090000000000001,,ZAF,NGDP_RPCH,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for: Gross domestic product, constant prices (National currency).",-6.96,3.1,1.97,1.4,1.3,1.3,1.3,2020.0
24,ESP,Europe,Spain,2021-07-31,4447044.0,0.0,23802.142999999996,81486.0,0.0,37.857,95114.205,0.0,509.085,1742.838,0.0,0.81,1.14,,,,,,,,,,,,,,,,,,,,,,371925.0,,,,7955.0,47.69,46754783.0,93.105,45.5,19.436,13.799000000000001,34272.36,1.0,99.40299999999999,7.17,27.4,31.4,,2.97,83.56,0.904,,ESP,NGDP_RPCH,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for: Gross domestic product, constant prices (National currency).",-10.964,6.375,4.701,2.79,2.43,1.39,1.4,2020.0
25,TZA,Africa,Tanzania,2021-07-31,1017.0,0.0,72.571,21.0,0.0,0.0,17.025,0.0,1.215,0.35200000000000004,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,59734213.0,64.699,17.7,3.108,1.874,2683.304,49.1,217.28799999999998,5.75,3.3,26.7,47.953,0.7,65.46,0.529,,TZA,NGDP_RPCH,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for: Gross domestic product, constant prices (National currency).",1.029,2.658,4.616,4.67,5.046,5.492,5.486,2019.0
26,TUN,Africa,Tunisia,2021-07-31,589565.0,3419.0,3662.143,19686.0,183.0,188.143,49884.428,289.289,309.862,1665.6770000000001,15.484000000000002,15.919,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,11818618.0,74.22800000000001,32.7,8.001,5.075,10849.296999999999,2.0,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,,TUN,NGDP_RPCH,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for: Gross domestic product, constant prices (National currency).",-8.8,3.81,2.432,1.996,1.843,1.763,1.779,2019.0
27,TUR,Asia,Turkey,2021-07-31,5727045.0,22332.0,19952.429,51332.0,79.0,64.714,67905.008,264.788,236.574,608.638,0.937,0.767,1.58,,,,,,,,,,,,,,,,,,73272667.0,41012715.0,27355633.0,343025.0,1069910.0,86.88,48.63,32.44,12686.0,,84339067.0,104.914,31.6,8.152999999999999,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82,,TUR,NGDP_RPCH,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for: Gross domestic product, constant prices (National currency).",1.794,6.042,3.499,3.5,3.545,3.523,3.505,2020.0
28,GBR,Europe,United Kingdom,2021-07-31,5883421.0,25782.0,26994.142999999996,129949.0,72.0,75.857,86666.185,379.784,397.639,1914.224,1.061,1.117,0.81,,,,,,,,,663758.0,215571085.0,3175.486,9.777999999999999,801377.0,11.805,0.034,29.7,tests performed,85196986.0,46851145.0,38345841.0,251017.0,208985.0,125.5,69.01,56.49,3078.0,,67886004.0,272.89799999999997,40.8,18.517,12.527000000000001,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54,81.32,0.932,,GBR,NGDP_RPCH,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for: Gross domestic product, constant prices (National currency).",-9.92,5.344,5.066,1.996,1.757,1.549,1.449,2020.0
29,USA,North America,United States,2021-07-31,34978276.0,32808.0,78600.143,613157.0,144.0,358.14300000000003,105673.705,99.117,237.46099999999998,1852.4229999999998,0.435,1.082,1.5,11206.0,33.855,43585.0,131.67600000000002,,,,,,,,,,,,,,345640466.0,190982149.0,164446964.0,711952.0,657213.0,103.35,57.1,49.17,1965.0,49.54,331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.9259999999999999,,USA,NGDP_RPCH,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for: Gross domestic product, constant prices (National currency).",-3.505,6.386,3.515,1.41,1.481,1.607,1.61,2020.0
30,VNM,Asia,Vietnam,2021-07-31,150060.0,8938.0,7878.143,1306.0,145.0,133.714,1541.629,91.824,80.935,13.417,1.49,1.374,1.42,,,,,,,,,,,,,,,,,,6203866.0,5583255.0,620611.0,272490.0,238304.0,6.37,5.74,0.64,2448.0,,97338583.0,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,85.84700000000001,2.6,75.4,0.7040000000000001,,VNM,NGDP_RPCH,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for: Gross domestic product, constant prices (National currency).",2.906,6.5,7.2,6.95,6.821,6.63,6.61,2019.0
