growth_rate,people_fully_vaccinated_per_hundred,country,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,z,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality,ISO,WEO Subject Code,Subject Descriptor,Subject Notes,Units,Scale,2020,2020,2021,2023,2024,2025,2026,Estimates Start After,
3.758,49.56,Greece,7/31/21,493304,2752,2705.429,12940,17,10.571,47328.154,264.03,259.562,1241.479,1.631,1.014,1.09,,,,,,,,,,,,,,,,,,10536457,5705615,5165666,60540,53674,101.09,54.74,49.56,5150,48.61,10423056,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52,,4.21,82.24,0.888,,GRC,NGDP_RPCH,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,"See notes for: Gross domestic product, constant prices (National currency).",-8.248,3.758,5,2.352,1.53,1.466,1.356,2020
3.707,74,Iceland,7/31/21,7959,158,115.857,30,0,0,23323.077,463.004,339.508,87.912,0,0,1.53,,,,,,,,,2591,493096,1444.97,7.593,4047,11.859,,,tests performed,,,,,,,,,,,341250,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949,,ISL,NGDP_RPCH,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,"See notes for: Gross domestic product, constant prices (National currency).",-6.649,3.707,3.568,2.369,2.433,2.331,2.335,2018
4.15,52.05,Italy,7/31/21,4350028,6509,5336.429,128063,16,17.286,71946.683,107.655,88.261,2118.08,0.265,0.286,1.3,,,,,,,,,264860,77544194,1282.531,4.381,213200,3.526,0.025,40,tests performed,68525502,38409740,31468745,426743,497750,113.34,63.53,52.05,8232,,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,,ITA,NGDP_RPCH,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,"See notes for: Gross domestic product, constant prices (National currency).",-8.871,4.15,3.604,1.563,0.913,0.85,0.817,2020
6.5,20.92,Malaysia,7/31/21,1113272,17786,16697,9024,299,160.286,34396.344,549.527,515.881,278.811,9.238,4.952,1.2,,,,,,,,,,,,,,,,,,20720351,13949423,6770928,519364,523213,64.02,43.1,20.92,16166,,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16,0.81,,MYS,NGDP_RPCH,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,"See notes for: Gross domestic product, constant prices (National currency).",-5.588,6.5,6,5.7,5.3,5,5,2019
4.663,86.57,Malta,7/31/21,34295,94,107.714,423,0,0.286,77671.508,212.892,243.952,958.013,0,0.647,0.76,,,,,,,,,,,,,,,,,,759818,399690,382255,1566,2301,172.08,90.52,86.57,5211,47.22,441539,1454.037,42.4,19.426,11.324,36513.323,0.2,168.711,8.83,20.9,30.2,,4.485,82.53,0.895,,MLT,NGDP_RPCH,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,"See notes for: Gross domestic product, constant prices (National currency).",-7.001,4.663,5.577,4.603,4.531,4.5,4.475,2020
5.004,20,Mexico,7/31/21,2848252,18809,15181.286,240906,450,370,22090.989,145.882,117.746,1868.462,3.49,2.87,1.27,,,,,,,,,8090,8028519,62.269,0.063,29694,0.23,0.412,2.4,people tested,67355342,47463637,25792543,642856,971008,52.24,36.81,20,7531,67.13,128932753,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,,MEX,NGDP_RPCH,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,"See notes for: Gross domestic product, constant prices (National currency).",-8.239,5.004,3.002,2.132,2.023,2.011,2.015,2020
4.5,27.43,Morocco,7/31/21,623528,7529,6909.429,9785,53,32.286,16892.944,203.98,187.194,265.1,1.436,0.875,1.68,,,,,,,,,,,,,,,,,,23755510,13631005,10124505,106032,319011,64.36,36.93,27.43,8643,,36910558,80.08,29.6,6.769,4.209,7485.013,1,419.146,7.14,0.8,47.1,,1.1,76.68,0.686,,MAR,NGDP_RPCH,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,"See notes for: Gross domestic product, constant prices (National currency).",-7.021,4.5,3.9,3.7,3.637,3.6,3.5,2019
4.044,15.96,New Zealand,7/31/21,2874,3,1.571,26,0,0,595.989,0.622,0.326,5.392,0,0,0.79,,,,,,,,,,,,,6645,1.378,0,4229.8,tests performed,,,,,,,,,,22.22,4822233,18.206,37.9,15.322,9.72,36085.843,,128.797,8.08,14.8,17.2,,2.61,82.29,0.931,,NZL,NGDP_RPCH,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,"See notes for: Gross domestic product, constant prices (National currency).",-2.991,4.044,3.195,2.613,2.531,2.432,2.463,2020
8.498,15.63,Peru,7/31/21,2111393,2798,1212.714,196353,139,79.714,64036.239,84.86,36.78,5955.172,4.216,2.418,0.89,,,,,,,,,,,,,,,,,,13152285,7997150,5155135,163541,145790,39.89,24.25,15.63,4422,,32971846,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777,,PER,NGDP_RPCH,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,"See notes for: Gross domestic product, constant prices (National currency).",-11.115,8.498,5.159,4.751,3.377,3.252,3.251,2020
3.467,46.16,Poland,7/31/21,2882939,153,124.714,75261,2,2.857,76174.309,4.043,3.295,1988.58,0.053,0.075,1.2,,,,,,,,,,,,,,,,,,34429956,18332060,17470071,95697,103445,90.97,48.44,46.16,2733,,37846605,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73,0.88,,POL,NGDP_RPCH,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,"See notes for: Gross domestic product, constant prices (National currency).",-2.723,3.467,4.543,3.977,3.012,2.855,2.564,2020
