,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
51310,KIR,Oceania,Kiribati,2021-07-31,2.0,0.0,0.0,,,0.0,16.744,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119446.0,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,
51816,OWID_KOS,Europe,Kosovo,2021-07-31,108365.0,92.0,53.286,2269.0,0.0,0.0,56067.083,47.6,27.57,1173.96,0.0,0.0,,,,,,,,,,,,,,,,,,,428818.0,282603.0,146215.0,15740.0,11515.0,22.19,14.62,7.57,5958.0,,1932774.0,168.155,,,,9795.834,0.6,,,,,,,,,
52341,KWT,Asia,Kuwait,2021-07-31,397831.0,733.0,864.2860000000001,2320.0,6.0,5.857,93156.57,171.64,202.382,543.254,1.405,1.3719999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,132.235,15.84,2.7,37.0,,2.0,75.49,0.8059999999999999,
52843,KGZ,Asia,Kyrgyzstan,2021-07-31,162892.0,919.0,962.857,2325.0,14.0,12.429,24967.387000000002,140.86,147.583,356.366,2.146,1.905,,,,,,,,,,,,,,,,,,,570564.0,453881.0,116456.0,8036.0,13460.0,8.75,6.96,1.78,2063.0,,6524191.0,32.333,26.3,4.489,2.8819999999999997,3393.474,1.4,436.36199999999997,7.11,3.6,50.5,89.22,4.5,71.45,0.6970000000000001,
53339,LAO,Asia,Laos,2021-07-31,6299.0,380.0,239.857,7.0,1.0,0.28600000000000003,865.7760000000001,52.23,32.968,0.9620000000000001,0.13699999999999998,0.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7275556.0,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4.0,7.3,51.2,49.839,1.5,67.92,0.613,
53866,LVA,Europe,Latvia,2021-07-31,138863.0,64.0,62.571000000000005,2556.0,0.0,0.857,73620.429,33.931,33.173,1355.104,0.0,0.45399999999999996,,,,,,,,,,,,,,,,,,,1351733.0,768202.0,683397.0,2754.0,4832.0,71.66,40.73,36.23,2562.0,,1886202.0,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51.0,,5.57,75.29,0.866,
54394,LBN,Asia,Lebanon,2021-07-31,561380.0,984.0,988.857,7906.0,3.0,2.1430000000000002,82248.15299999999,144.166,144.878,1158.313,0.44,0.314,,,,,,,,,,,,,,,,,,,1946891.0,1113441.0,833450.0,1964.0,22912.0,28.52,16.31,12.21,3357.0,65.74,6825442.0,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.7440000000000001,
54840,LSO,Africa,Lesotho,2021-07-31,12908.0,0.0,17.285999999999998,374.0,0.0,2.4290000000000003,6025.435,0.0,8.068999999999999,174.583,0.0,1.1340000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2142252.0,73.562,22.2,4.506,2.647,2851.153,59.6,405.126,3.94,0.4,53.9,2.117,,54.33,0.527,
55344,LBR,Africa,Liberia,2021-07-31,5396.0,0.0,0.0,148.0,0.0,0.0,1066.893,0.0,0.0,29.261999999999997,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5057677.0,49.126999999999995,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,64.1,0.48,
55860,LBY,Africa,Libya,2021-07-31,249114.0,0.0,2787.143,3509.0,0.0,23.570999999999998,36254.344,0.0,405.62199999999996,510.676,0.0,3.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6871287.0,3.623,29.0,4.4239999999999995,2.8160000000000003,17881.509,,341.86199999999997,10.43,,,,3.7,72.91,0.7240000000000001,
